tumor_suppressor_genes,oncogenes,protein_kinases,cell_differentiation_markers,transcription_factors,cytokines_and_growth_factors
,,,,cg05296643,
,,,,cg21487207,
,,,,cg17026220,
,,,,cg01683044,
,,,,cg26035702,
,,,,cg20381985,
,,,,cg09481972,
,,,,cg15718289,
,,,,cg00243574,
,,,,cg10918927,
,,,,cg16765387,
,,,,cg05416450,
,,,,cg10593493,
,,,,cg15611151,
,,,,cg25122233,
,,,,cg19892287,
,,,,cg19164987,
,,,,cg00567703,
,,,,cg07080050,
,,,,cg15772924,
,,,,cg07915976,
,,,,cg03305955,
,,,,cg03892356,
,,,,cg21582112,
,,,,cg12232783,
,,,,cg04576672,
,,,,cg27441225,
,,,,cg11941633,
,,,,cg22378817,
,,,,cg23618344,
,,,,cg03255182,
,,,,cg07545037,
,,,,cg23697546,
,,,,cg13826247,
,,,,cg00040312,
,,,,cg18054172,
,,,,cg10005224,
,,,,cg18843682,
,,,,cg21041775,
,,,,cg24735790,
,,,,cg05477933,
,,,,cg19182597,
,,,,cg14644523,
,,,,cg03144714,
,,,,cg22358580,
,,,,cg02470595,
,,,,cg27002522,
,,,,cg03668274,
,,,,cg19186380,
,,,,cg17031478,
,,,,cg00576279,
,,,,cg00187380,
,,,,cg05982757,
,,,,cg16983211,
,,,,cg15700739,
,,,,cg21703606,
,,,,cg00218447,
,,,,cg05987823,
,,,,cg21476000,
,,,,cg05349837,
,,,,cg19696083,
,,,,cg22525581,
,,,,cg21216477,
,,,,cg19058685,
,,,,cg02017718,
,,,,cg02721000,
,,,,cg08465346,
,,,,cg10366797,
,,,,cg15834355,
,,,,cg03207151,
,,,,cg22151644,
,,,,cg01946191,
,,,,cg17151054,
,,,,cg21783047,
,,,,cg12374095,
,,,,cg04651603,
,,,,cg08190858,
,,,,cg13604337,
,,,,cg03904876,
,,,,cg03313705,
,,,,cg17410650,
,,,,cg25024717,
,,,,cg06087619,
,,,,cg07731191,
,,,,cg18713028,
,,,,cg04662532,
,,,,cg16110759,
,,,,cg25975689,
,,,,cg04727865,
,,,,cg17085352,
,,,,cg22830707,
,,,,cg20587394,
,,,,cg01577751,
,,,,cg11466369,
,,,,cg26283893,
,,,,cg01839657,
,,,,cg09106624,
,,,,cg10961753,
,,,,cg25671500,
,,,,cg19977966,
,,,,cg16856286,
,,,,cg03972398,
,,,,cg07892422,
,,,,cg25936147,
,,,,cg20959780,
,,,,cg00059246,
,,,,cg23922739,
,,,,cg08803500,
,,,,cg20104341,
,,,,cg04819096,
,,,,cg05771518,
,,,,cg03239552,
,,,,cg02066277,
,,,,cg05951084,
,,,,cg08522676,
,,,,cg00862376,
,,,,cg16871994,
,,,,cg02072366,
,,,,cg16479539,
,,,,cg02387326,
,,,,cg16650901,
,,,,cg21707187,
,,,,cg09973284,
,,,,cg10809166,
,,,,cg25382128,
,,,,cg26953453,
,,,,cg02618300,
,,,,cg19202292,
,,,,cg23063338,
,,,,cg16305379,
,,,,cg23750445,
,,,,cg19928450,
,,,,cg10810799,
,,,,cg05589246,
,,,,cg26931862,
,,,,cg00920572,
,,,,cg08045824,
,,,,cg14212206,
,,,,cg13233461,
,,,,cg06729806,
,,,,cg09210964,
,,,,cg02537491,
,,,,cg08299265,
,,,,cg05573844,
,,,,cg03078269,
,,,,cg26809635,
,,,,cg01524278,
,,,,cg19188855,
,,,,cg22829917,
,,,,cg18040901,
,,,,cg15731655,
,,,,cg06622953,
,,,,cg17573720,
,,,,cg05516489,
,,,,cg10641615,
,,,,cg00079219,
,,,,cg18824990,
,,,,cg16006349,
,,,,cg24895871,
,,,,cg02665037,
,,,,cg20116805,
,,,,cg02371798,
,,,,cg06850442,
,,,,cg00796424,
,,,,cg03762366,
,,,,cg03132556,
,,,,cg08962452,
,,,,cg26386624,
,,,,cg06630413,
,,,,cg22709192,
,,,,cg15830509,
,,,,cg07123069,
,,,,cg03536474,
,,,,cg04203883,
,,,,cg17273416,
,,,,cg13855243,
,,,,cg07035173,
,,,,cg02510471,
,,,,cg23395715,
,,,,cg08857479,
,,,,cg15996644,
,,,,cg08033722,
,,,,cg27178293,
,,,,cg10792302,
,,,,cg06619938,
,,,,cg04032071,
,,,,cg10893278,
,,,,cg20403938,
,,,,cg16898193,
,,,,cg03833604,
,,,,cg04710764,
,,,,cg21623748,
,,,,cg03556393,
,,,,cg08737755,
,,,,cg16253259,
,,,,cg25057269,
,,,,cg08900043,
,,,,cg26153631,
,,,,cg00699029,
,,,,cg02009895,
,,,,cg13615998,
,,,,cg20402783,
,,,,cg22267551,
,,,,cg19310604,
,,,,cg04981737,
,,,,cg06193958,
,,,,cg19898108,
,,,,cg10662314,
,,,,cg05412137,
,,,,cg08053137,
,,,,cg18771937,
,,,,cg14679255,
,,,,cg16400495,
,,,,cg19435724,
,,,,cg18787548,
,,,,cg21841963,
,,,,cg26987376,
,,,,cg04555312,
,,,,cg03654299,
,,,,cg16600991,
,,,,cg07541701,
,,,,cg14639847,
,,,,cg16264616,
,,,,cg19794507,
,,,,cg09941406,
,,,,cg20340866,
,,,,cg09045007,
,,,,cg10587913,
,,,,cg15410411,
,,,,cg09045655,
,,,,cg15819717,
,,,,cg07634179,
,,,,cg26829131,
,,,,cg03122669,
,,,,cg16356837,
,,,,cg01615018,
,,,,cg23828720,
,,,,cg03215137,
,,,,cg13233407,
,,,,cg21272774,
,,,,cg05069426,
,,,,cg12071536,
,,,,cg25456468,
,,,,cg12699286,
,,,,cg24500832,
,,,,cg13357393,
,,,,cg02227188,
,,,,cg23685155,
,,,,cg22679316,
,,,,cg08254359,
,,,,cg21336435,
,,,,cg21837192,
,,,,cg20643952,
,,,,cg12590051,
,,,,cg08355659,
,,,,cg05971894,
,,,,cg03218797,
,,,,cg26643142,
,,,,cg24096964,
,,,,cg03348474,
,,,,cg05951377,
,,,,cg15423035,
,,,,cg09590068,
,,,,cg27613172,
,,,,cg22660542,
,,,,cg14301713,
,,,,cg27482031,
,,,,cg25285794,
,,,,cg07791427,
,,,,cg05643303,
,,,,cg03037150,
,,,,cg25917510,
,,,,cg21726284,
,,,,cg02344911,
,,,,cg05022306,
,,,,cg19634247,
,,,,cg13545297,
,,,,cg16908257,
,,,,cg18540674,
,,,,cg14569644,
,,,,cg21618620,
,,,,cg03078363,
,,,,cg04105511,
,,,,cg26019295,
,,,,cg18040878,
,,,,cg15660418,
,,,,cg01473837,
,,,,cg22621272,
,,,,cg16937769,
,,,,cg04704531,
,,,,cg06714180,
,,,,cg15817960,
,,,,cg13726459,
,,,,cg12905836,
,,,,cg22198132,
,,,,cg14108840,
,,,,cg26162108,
,,,,cg02491017,
,,,,cg01153660,
,,,,cg23047434,
,,,,cg24896860,
,,,,cg04794183,
,,,,cg05296643,
,,,,cg21487207,
,,,,cg17026220,
,,,,cg01683044,
,,,,cg26035702,
,,,,cg20381985,
,,,,cg09481972,
,,,,cg15718289,
,,,,cg00243574,
,,,,cg10918927,
,,,,cg16765387,
,,,,cg05416450,
,,,,cg10593493,
,,,,cg15611151,
,,,,cg25122233,
,,,,cg19892287,
,,,,cg19164987,
,,,,cg00567703,
,,,,cg07080050,
,,,,cg15772924,
,,,,cg07915976,
,,,,cg03305955,
,,,,cg03892356,
,,,,cg21582112,
,,,,cg12232783,
,,,,cg04576672,
,,,,cg27441225,
,,,,cg11941633,
,,,,cg22378817,
,,,,cg23618344,
,,,,cg03255182,
,,,,cg07545037,
,,,,cg23697546,
,,,,cg13826247,
,,,,cg00040312,
,,,,cg18054172,
,,,,cg10005224,
,,,,cg18843682,
,,,,cg21041775,
,,,,cg24735790,
,,,,cg05477933,
,,,,cg19182597,
,,,,cg14644523,
,,,,cg03144714,
,,,,cg22358580,
,,,,cg02470595,
,,,,cg27002522,
,,,,cg03668274,
,,,,cg19186380,
,,,,cg17031478,
,,,,cg00576279,
,,,,cg00187380,
,,,,cg05982757,
,,,,cg16983211,
,,,,cg15700739,
,,,,cg21703606,
,,,,cg00218447,
,,,,cg05987823,
,,,,cg21476000,
,,,,cg05349837,
,,,,cg17151054,
,,,,cg21783047,
,,,,cg12374095,
,,,,cg04651603,
,,,,cg08190858,
,,,,cg13604337,
,,,,cg03904876,
,,,,cg03313705,
,,,,cg17410650,
,,,,cg25024717,
,,,,cg06087619,
,,,,cg07731191,
,,,,cg18713028,
,,,,cg04662532,
,,,,cg16110759,
,,,,cg25975689,
,,,,cg04727865,
,,,,cg17085352,
,,,,cg22830707,
,,,,cg20587394,
,,,,cg01577751,
,,,,cg11466369,
,,,,cg26283893,
,,,,cg01839657,
,,,,cg09106624,
,,,,cg10961753,
,,,,cg25671500,
,,,,cg19977966,
,,,,cg16856286,
,,,,cg03972398,
,,,,cg07892422,
,,,,cg25936147,
,,,,cg20959780,
,,,,cg00059246,
,,,,cg23922739,
,,,,cg08803500,
,,,,cg20104341,
,,,,cg04819096,
,,,,cg05771518,
,,,,cg03239552,
,,,,cg02066277,
,,,,cg05951084,
,,,,cg08522676,
,,,,cg00862376,
,,,,cg16871994,
,,,,cg02072366,
,,,,cg16479539,
,,,,cg02387326,
,,,,cg16650901,
,,,,cg21707187,
,,,,cg09973284,
,,,,cg10809166,
,,,,cg25382128,
,,,,cg26953453,
,,,,cg02618300,
,,,,cg19202292,
,,,,cg23063338,
,,,,cg16305379,
,,,,cg23750445,
,,,,cg19928450,
,,,,cg10810799,
,,,,cg05589246,
,,,,cg26931862,
,,,,cg00920572,
,,,,cg08045824,
,,,,cg14212206,
,,,,cg13233461,
,,,,cg06729806,
,,,,cg09210964,
,,,,cg02537491,
,,,,cg08299265,
,,,,cg05573844,
,,,,cg03078269,
,,,,cg26809635,
,,,,cg01524278,
,,,,cg19188855,
,,,,cg22829917,
,,,,cg18040901,
,,,,cg15731655,
,,,,cg06622953,
,,,,cg17573720,
,,,,cg05516489,
,,,,cg10641615,
,,,,cg00079219,
,,,,cg18824990,
,,,,cg16006349,
,,,,cg24895871,
,,,,cg02665037,
,,,,cg20116805,
,,,,cg02371798,
,,,,cg06850442,
,,,,cg00796424,
,,,,cg03762366,
,,,,cg03132556,
,,,,cg08962452,
,,,,cg26386624,
,,,,cg06630413,
,,,,cg22709192,
,,,,cg15830509,
,,,,cg07123069,
,,,,cg03536474,
,,,,cg04203883,
,,,,cg17273416,
,,,,cg13855243,
,,,,cg07035173,
,,,,cg02510471,
,,,,cg23395715,
,,,,cg08857479,
,,,,cg15996644,
,,,,cg08033722,
,,,,cg27178293,
,,,,cg10792302,
,,,,cg06619938,
,,,,cg04032071,
,,,,cg10893278,
,,,,cg20403938,
,,,,cg16898193,
,,,,cg03833604,
,,,,cg04710764,
,,,,cg21623748,
,,,,cg03556393,
,,,,cg08737755,
,,,,cg16253259,
,,,,cg25057269,
,,,,cg08900043,
,,,,cg26153631,
,,,,cg00699029,
,,,,cg02009895,
,,,,cg13615998,
,,,,cg20402783,
,,,,cg22267551,
,,,,cg19310604,
,,,,cg04981737,
,,,,cg06193958,
,,,,cg19898108,
,,,,cg10662314,
,,,,cg05412137,
,,,,cg08053137,
,,,,cg18771937,
,,,,cg14679255,
,,,,cg16400495,
,,,,cg19435724,
,,,,cg18787548,
,,,,cg21841963,
,,,,cg26987376,
,,,,cg04555312,
,,,,cg03654299,
,,,,cg16600991,
,,,,cg07541701,
,,,,cg14639847,
,,,,cg16264616,
,,,,cg19794507,
,,,,cg09941406,
,,,,cg20340866,
,,,,cg09045007,
,,,,cg10587913,
,,,,cg15410411,
,,,,cg09045655,
,,,,cg15819717,
,,,,cg07634179,
,,,,cg26829131,
,,,,cg03122669,
,,,,cg16356837,
,,,,cg01615018,
,,,,cg23828720,
,,,,cg03215137,
,,,,cg13233407,
,,,,cg21272774,
,,,,cg05069426,
,,,,cg12071536,
,,,,cg25456468,
,,,,cg12699286,
,,,,cg24500832,
,,,,cg13357393,
,,,,cg02227188,
,,,,cg23685155,
,,,,cg22679316,
,,,,cg08254359,
,,,,cg21336435,
,,,,cg21837192,
,,,,cg20643952,
,,,,cg12590051,
,,,,cg08355659,
,,,,cg05971894,
,,,,cg03218797,
,,,,cg26643142,
,,,,cg24096964,
,,,,cg03348474,
,,,,cg05951377,
,,,,cg15423035,
,,,,cg09590068,
,,,,cg27613172,
,,,,cg22660542,
,,,,cg14301713,
,,,,cg27482031,
,,,,cg25285794,
,,,,cg07791427,
,,,,cg05643303,
,,,,cg03037150,
,,,,cg25917510,
,,,,cg21726284,
,,,,cg02344911,
,,,,cg05022306,
,,,,cg19634247,
,,,,cg13545297,
,,,,cg16908257,
,,,,cg18540674,
,,,,cg14569644,
,,,,cg21618620,
,,,,cg03078363,
,,,,cg04105511,
,,,,cg26019295,
,,,,cg18040878,
,,,,cg15660418,
,,,,cg01473837,
,,,,cg22621272,
,,,,cg16937769,
,,,,cg04704531,
,,,,cg06714180,
,,,,cg15817960,
,,,,cg13726459,
,,,,cg12905836,
,,,,cg22198132,
,,,,cg14108840,
,,,,cg26162108,
,,,,cg02491017,
,,,,cg01153660,
,,,,cg23047434,
,,,,cg24896860,
,,,,cg04794183,
,,,,cg05296643,
,,,,cg21487207,
,,,,cg17026220,
,,,,cg01683044,
,,,,cg26035702,
,,,,cg20381985,
,,,,cg09481972,
,,,,cg15718289,
,,,,cg00243574,
,,,,cg10918927,
,,,,cg16765387,
,,,,cg05416450,
,,,,cg10593493,
,,,,cg15611151,
,,,,cg25122233,
,,,,cg19892287,
,,,,cg19164987,
,,,,cg00567703,
,,,,cg07080050,
,,,,cg15772924,
,,,,cg17151054,
,,,,cg21783047,
,,,,cg12374095,
,,,,cg04651603,
,,,,cg08190858,
,,,,cg13604337,
,,,,cg03904876,
,,,,cg03313705,
,,,,cg17410650,
,,,,cg25024717,
,,,,cg06087619,
,,,,cg07731191,
,,,,cg18713028,
,,,,cg04662532,
,,,,cg16110759,
,,,,cg25975689,
,,,,cg04727865,
,,,,cg17085352,
,,,,cg22830707,
,,,,cg20587394,
,,,,cg01577751,
,,,,cg11466369,
,,,,cg26283893,
,,,,cg01839657,
,,,,cg09106624,
,,,,cg10961753,
,,,,cg25671500,
,,,,cg19977966,
,,,,cg16856286,
,,,,cg03972398,
,,,,cg07892422,
,,,,cg25936147,
,,,,cg20959780,
,,,,cg00059246,
,,,,cg23922739,
,,,,cg08803500,
,,,,cg20104341,
,,,,cg04819096,
,,,,cg05771518,
,,,,cg03239552,
,,,,cg02066277,
,,,,cg05951084,
,,,,cg08522676,
,,,,cg00862376,
,,,,cg16871994,
,,,,cg02072366,
,,,,cg16479539,
,,,,cg02387326,
,,,,cg16650901,
,,,,cg21707187,
,,,,cg09973284,
,,,,cg10809166,
,,,,cg25382128,
,,,,cg26953453,
,,,,cg02618300,
,,,,cg19202292,
,,,,cg23063338,
,,,,cg16305379,
,,,,cg23750445,
,,,,cg19928450,
,,,,cg10810799,
,,,,cg05589246,
,,,,cg26931862,
,,,,cg00920572,
,,,,cg08045824,
,,,,cg14212206,
,,,,cg13233461,
,,,,cg06729806,
,,,,cg09210964,
,,,,cg02537491,
,,,,cg08299265,
,,,,cg05573844,
,,,,cg03078269,
,,,,cg26809635,
,,,,cg01524278,
,,,,cg19188855,
,,,,cg22829917,
,,,,cg18040901,
,,,,cg15731655,
,,,,cg06622953,
,,,,cg17573720,
,,,,cg05516489,
,,,,cg10641615,
,,,,cg00079219,
,,,,cg18824990,
,,,,cg16006349,
,,,,cg24895871,
,,,,cg02665037,
,,,,cg20116805,
,,,,cg02371798,
,,,,cg06850442,
,,,,cg00796424,
,,,,cg03762366,
,,,,cg03132556,
,,,,cg08962452,
,,,,cg26386624,
,,,,cg06630413,
,,,,cg22709192,
,,,,cg15830509,
,,,,cg07123069,
,,,,cg03536474,
,,,,cg04203883,
,,,,cg17273416,
,,,,cg13855243,
,,,,cg07035173,
,,,,cg02510471,
,,,,cg23395715,
,,,,cg08857479,
,,,,cg15996644,
,,,,cg08033722,
,,,,cg27178293,
,,,,cg10792302,
,,,,cg06619938,
,,,,cg04032071,
,,,,cg10893278,
,,,,cg20403938,
,,,,cg16898193,
,,,,cg03833604,
,,,,cg04710764,
,,,,cg21623748,
,,,,cg03556393,
,,,,cg08737755,
,,,,cg16253259,
,,,,cg25057269,
,,,,cg08900043,
,,,,cg26153631,
,,,,cg00699029,
,,,,cg02009895,
,,,,cg13615998,
,,,,cg20402783,
,,,,cg22267551,
,,,,cg19310604,
,,,,cg04981737,
,,,,cg06193958,
,,,,cg19898108,
,,,,cg10662314,
,,,,cg05412137,
,,,,cg08053137,
,,,,cg18771937,
,,,,cg14679255,
,,,,cg16400495,
,,,,cg19435724,
,,,,cg18787548,
,,,,cg21841963,
,,,,cg26987376,
,,,,cg04555312,
,,,,cg03654299,
,,,,cg16600991,
,,,,cg07541701,
,,,,cg14639847,
,,,,cg16264616,
,,,,cg19794507,
,,,,cg09941406,
,,,,cg20340866,
,,,,cg09045007,
,,,,cg10587913,
,,,,cg15410411,
,,,,cg09045655,
,,,,cg15819717,
,,,,cg07634179,
,,,,cg26829131,
,,,,cg03122669,
,,,,cg16356837,
,,,,cg01615018,
,,,,cg23828720,
,,,,cg03215137,
,,,,cg13233407,
,,,,cg21272774,
,,,,cg05069426,
,,,,cg12071536,
,,,,cg25456468,
,,,,cg12699286,
,,,,cg24500832,
,,,,cg13357393,
,,,,cg02227188,
,,,,cg23685155,
,,,,cg22679316,
,,,,cg07731191,
,,,,cg18713028,
,,,,cg04662532,
,,,,cg16110759,
,,,,cg25975689,
,,,,cg04727865,
,,,,cg17085352,
,,,,cg22830707,
,,,,cg20587394,
,,,,cg01577751,
,,,,cg11466369,
,,,,cg26283893,
,,,,cg01839657,
,,,,cg09106624,
,,,,cg10961753,
,,,,cg25671500,
,,,,cg19977966,
,,,,cg16856286,
,,,,cg03972398,
,,,,cg07892422,
,,,,cg25936147,
,,,,cg20959780,
,,,,cg00059246,
,,,,cg23922739,
,,,,cg08803500,
,,,,cg20104341,
,,,,cg04819096,
,,,,cg05771518,
,,,,cg03239552,
,,,,cg02066277,
,,,,cg05951084,
,,,,cg08522676,
,,,,cg00862376,
,,,,cg16871994,
,,,,cg02072366,
,,,,cg16479539,
,,,,cg02387326,
,,,,cg16650901,
,,,,cg21707187,
,,,,cg09973284,
,,,,cg10809166,
,,,,cg25382128,
,,,,cg26953453,
,,,,cg02618300,
,,,,cg19202292,
,,,,cg23063338,
,,,,cg16305379,
,,,,cg23750445,
,,,,cg19928450,
,,,,cg10810799,
,,,,cg05589246,
,,,,cg26931862,
,,,,cg00920572,
,,,,cg08045824,
,,,,cg14212206,
,,,,cg13233461,
,,,,cg06729806,
,,,,cg09210964,
,,,,cg02537491,
,,,,cg08299265,
,,,,cg05573844,
,,,,cg03078269,
,,,,cg26809635,
,,,,cg01524278,
,,,,cg19188855,
,,,,cg22829917,
,,,,cg18040901,
,,,,cg15731655,
,,,,cg06622953,
,,,,cg17573720,
,,,,cg05516489,
,,,,cg10641615,
,,,,cg00079219,
,,,,cg18824990,
,,,,cg16006349,
,,,,cg24895871,
,,,,cg02665037,
,,,,cg20116805,
,,,,cg02371798,
,,,,cg06850442,
,,,,cg00796424,
,,,,cg03762366,
,,,,cg03132556,
,,,,cg08962452,
,,,,cg26386624,
,,,,cg06630413,
,,,,cg22709192,
,,,,cg15830509,
,,,,cg07123069,
,,,,cg03536474,
,,,,cg04203883,
,,,,cg17273416,
,,,,cg13855243,
,,,,cg07035173,
,,,,cg02510471,
,,,,cg23395715,
,,,,cg08857479,
,,,,cg15996644,
,,,,cg08033722,
,,,,cg27178293,
,,,,cg10792302,
,,,,cg06619938,
,,,,cg04032071,
,,,,cg10893278,
,,,,cg20403938,
,,,,cg16898193,
,,,,cg03833604,
,,,,cg04710764,
,,,,cg21623748,
,,,,cg03556393,
,,,,cg08737755,
,,,,cg16253259,
,,,,cg25057269,
,,,,cg08900043,
,,,,cg26153631,
,,,,cg00699029,
,,,,cg02009895,
,,,,cg13615998,
,,,,cg20402783,
,,,,cg22267551,
,,,,cg19310604,
,,,,cg04981737,
,,,,cg06193958,
,,,,cg19898108,
,,,,cg10662314,
,,,,cg05412137,
,,,,cg08053137,
,,,,cg18771937,
,,,,cg14679255,
,,,,cg16400495,
,,,,cg19435724,
,,,,cg18787548,
,,,,cg21841963,
,,,,cg26987376,
,,,,cg04555312,
,,,,cg03654299,
,,,,cg16600991,
,,,,cg07541701,
,,,,cg14639847,
,,,,cg16264616,
,,,,cg19794507,
,,,,cg09941406,
,,,,cg20340866,
,,,,cg09045007,
,,,,cg10587913,
,,,,cg15410411,
,,,,cg09045655,
,,,,cg15819717,
,,,,cg07634179,
,,,,cg26829131,
,,,,cg03122669,
,,,,cg16356837,
,,,,cg01615018,
,,,,cg23828720,
,,,,cg03215137,
,,,,cg13233407,
,,,,cg21272774,
,,,,cg05069426,
,,,,cg12071536,
,,,,cg25456468,
,,,,cg12699286,
,,,,cg24500832,
,,,,cg13357393,
,,,,cg02227188,
,,,,cg23685155,
,,,,cg22679316,
,,,,cg08254359,
,,,,cg21336435,
,,,,cg21837192,
,,,,cg20643952,
,,,,cg12590051,
,,,,cg08355659,
,,,,cg05971894,
,,,,cg03218797,
,,,,cg26643142,
,,,,cg24096964,
,,,,cg03348474,
,,,,cg05951377,
,,,,cg15423035,
,,,,cg09590068,
,,,,cg27613172,
,,,,cg22660542,
,,,,cg14301713,
,,,,cg27482031,
,,,,cg25285794,
,,,,cg07791427,
,,,,cg05643303,
,,,,cg03037150,
,,,,cg25917510,
,,,,cg21726284,
,,,,cg02344911,
,,,,cg05022306,
,,,,cg19634247,
,,,,cg13545297,
,,,,cg16908257,
,,,,cg18540674,
,,,,cg14569644,
,,,,cg21618620,
,,,,cg03078363,
,,,,cg04105511,
,,,,cg26019295,
,,,,cg18040878,
,,,,cg15660418,
,,,,cg01473837,
,,,,cg22621272,
,,,,cg16937769,
,,,,cg04704531,
,,,,cg06714180,
,,,,cg15817960,
,,,,cg13726459,
,,,,cg12905836,
,,,,cg22198132,
,,,,cg14108840,
,,,,cg26162108,
,,,,cg02491017,
,,,,cg01153660,
,,,,cg23047434,
,,,,cg24896860,
,,,,cg04794183,
,,,,cg05296643,
,,,,cg21487207,
,,,,cg17026220,
,,,,cg01683044,
,,,,cg26035702,
,,,,cg20381985,
,,,,cg09481972,
,,,,cg15718289,
,,,,cg00243574,
,,,,cg10918927,
,,,,cg16765387,
,,,,cg05416450,
,,,,cg10593493,
,,,,cg15611151,
,,,,cg25122233,
,,,,cg19892287,
,,,,cg19164987,
,,,,cg00567703,
,,,,cg07080050,
,,,,cg15772924,
,,,,cg07915976,
,,,,cg03305955,
,,,,cg03892356,
,,,,cg21582112,
,,,,cg12232783,
,,,,cg04576672,
,,,,cg27441225,
,,,,cg11941633,
,,,,cg22378817,
,,,,cg23618344,
,,,,cg03255182,
,,,,cg07545037,
,,,,cg23697546,
,,,,cg13826247,
,,,,cg00040312,
,,,,cg18054172,
,,,,cg10005224,
,,,,cg18843682,
,,,,cg21041775,
,,,,cg24735790,
,,,,cg05477933,
,,,,cg19182597,
,,,,cg14644523,
,,,,cg03144714,
,,,,cg22358580,
,,,,cg02470595,
,,,,cg27002522,
,,,,cg03668274,
,,,,cg19186380,
,,,,cg17031478,
,,,,cg00576279,
,,,,cg00187380,
,,,,cg05982757,
,,,,cg16983211,
,,,,cg15700739,
,,,,cg21703606,
,,,,cg00218447,
,,,,cg05987823,
,,,,cg21476000,
,,,,cg05349837,
,,,,cg19696083,
,,,,cg22525581,
,,,,cg21216477,
,,,,cg19058685,
,,,,cg02017718,
,,,,cg02721000,
,,,,cg08465346,
,,,,cg10366797,
,,,,cg15834355,
,,,,cg03207151,
,,,,cg22151644,
,,,,cg01946191,
,,,,cg05408649,
,,,,cg21493516,
,,,,cg27138204,
,,,,cg26201952,
,,,,cg15244786,
,,,,cg22370252,
,,,,cg05992786,
,,,,cg03416628,
,,,,cg25975485,
,,,,cg08712054,
,,,,cg18695839,
,,,,cg01704924,
,,,,cg18922524,
,,,,cg03923561,
,,,,cg02264990,
,,,,cg09720701,
,,,,cg01579535,
,,,,cg15233062,
,,,,cg11585893,
,,,,cg07266404,
,,,,cg15894722,
,,,,cg01524853,
,,,,cg22747076,
,,,,cg11746813,
,,,,cg18473521,
,,,,cg03146625,
,,,,cg15648389,
,,,,cg27008363,
,,,,cg16165803,
,,,,cg24605404,
,,,,cg25952663,
,,,,cg06989610,
,,,,cg23197405,
,,,,cg08455772,
,,,,cg04024827,
,,,,cg26777456,
,,,,cg11795276,
,,,,cg24392955,
,,,,cg03199745,
,,,,cg25828185,
,,,,cg02015027,
,,,,cg00059246,
,,,,cg23922739,
,,,,cg08803500,
,,,,cg20104341,
,,,,cg04819096,
,,,,cg05771518,
,,,,cg03239552,
,,,,cg02066277,
,,,,cg05951084,
,,,,cg08522676,
,,,,cg00862376,
,,,,cg16871994,
,,,,cg02072366,
,,,,cg16479539,
,,,,cg02387326,
,,,,cg16650901,
,,,,cg21707187,
,,,,cg09973284,
,,,,cg10809166,
,,,,cg25382128,
,,,,cg26953453,
,,,,cg02618300,
,,,,cg19202292,
,,,,cg23063338,
,,,,cg16305379,
,,,,cg23750445,
,,,,cg19928450,
,,,,cg10810799,
,,,,cg05589246,
,,,,cg26931862,
,,,,cg00920572,
,,,,cg08045824,
,,,,cg14212206,
,,,,cg13233461,
,,,,cg06729806,
,,,,cg09210964,
,,,,cg02537491,
,,,,cg08299265,
,,,,cg05573844,
,,,,cg03078269,
,,,,cg26809635,
,,,,cg01524278,
,,,,cg19188855,
,,,,cg22829917,
,,,,cg18040901,
,,,,cg15731655,
,,,,cg06622953,
,,,,cg17573720,
,,,,cg05516489,
,,,,cg10641615,
,,,,cg00079219,
,,,,cg18824990,
,,,,cg16006349,
,,,,cg24895871,
,,,,cg02665037,
,,,,cg20116805,
,,,,cg02371798,
,,,,cg06850442,
,,,,cg00796424,
,,,,cg03762366,
,,,,cg03132556,
,,,,cg08962452,
,,,,cg26386624,
,,,,cg06630413,
,,,,cg22709192,
,,,,cg15830509,
,,,,cg07123069,
,,,,cg03536474,
,,,,cg04203883,
,,,,cg17273416,
,,,,cg13855243,
,,,,cg07035173,
,,,,cg02510471,
,,,,cg23395715,
,,,,cg08857479,
,,,,cg15996644,
,,,,cg08033722,
,,,,cg27178293,
,,,,cg10792302,
,,,,cg06619938,
,,,,cg04032071,
,,,,cg10893278,
,,,,cg20403938,
,,,,cg16898193,
,,,,cg03833604,
,,,,cg04710764,
,,,,cg21623748,
,,,,cg03556393,
,,,,cg08737755,
,,,,cg16253259,
,,,,cg25057269,
,,,,cg08900043,
,,,,cg26153631,
,,,,cg00699029,
,,,,cg02009895,
,,,,cg13615998,
,,,,cg20402783,
,,,,cg22267551,
,,,,cg19310604,
,,,,cg04981737,
,,,,cg06193958,
,,,,cg19898108,
,,,,cg10662314,
,,,,cg05412137,
,,,,cg08053137,
,,,,cg18771937,
,,,,cg14679255,
,,,,cg16400495,
,,,,cg19435724,
,,,,cg18787548,
,,,,cg21841963,
,,,,cg26987376,
,,,,cg04555312,
,,,,cg03654299,
,,,,cg16600991,
,,,,cg07541701,
,,,,cg14639847,
,,,,cg16264616,
,,,,cg19794507,
,,,,cg09941406,
,,,,cg20340866,
,,,,cg09045007,
,,,,cg10587913,
,,,,cg15410411,
,,,,cg09045655,
,,,,cg15819717,
,,,,cg07634179,
,,,,cg26829131,
,,,,cg03122669,
,,,,cg16356837,
,,,,cg01615018,
,,,,cg23828720,
,,,,cg03215137,
,,,,cg13233407,
,,,,cg21272774,
,,,,cg05069426,
,,,,cg12071536,
,,,,cg25456468,
,,,,cg12699286,
,,,,cg24500832,
,,,,cg13357393,
,,,,cg02227188,
,,,,cg23685155,
,,,,cg22679316,
,,,,cg08254359,
,,,,cg21336435,
